transaction_id;transaction_date;transaction_time;transaction_qty;store_location;product_id;unit_price;product_category;product_type
1;01.01.2023;07:06:11;2;Lower Manhattan;32;3;Coffee;Gourmet brewed coffee
2;01.01.2023;07:08:56;2;Lower Manhattan;57;3,1;Tea;Brewed Chai tea
3;01.01.2023;07:14:04;2;Lower Manhattan;59;4,5;Drinking Chocolate;Hot chocolate
4;01.01.2023;07:20:24;1;Lower Manhattan;22;2;Coffee;Drip coffee
5;01.01.2023;07:22:41;2;Lower Manhattan;57;3,1;Tea;Brewed Chai tea
6;01.01.2023;07:22:41;1;Lower Manhattan;77;3;Bakery;Scone
7;01.01.2023;07:25:49;1;Lower Manhattan;22;2;Coffee;Drip coffee
8;01.01.2023;07:33:34;2;Lower Manhattan;28;2;Coffee;Gourmet brewed coffee
9;01.01.2023;07:39:13;1;Lower Manhattan;39;4,25;Coffee;Barista Espresso
10;01.01.2023;07:39:34;2;Lower Manhattan;58;3,5;Drinking Chocolate;Hot chocolate
11;01.01.2023;07:43:05;1;Lower Manhattan;56;2,55;Tea;Brewed Chai tea
12;01.01.2023;07:44:35;2;Lower Manhattan;33;3,5;Coffee;Gourmet brewed coffee
13;01.01.2023;07:45:51;1;Lower Manhattan;51;3;Tea;Brewed Black tea
14;01.01.2023;07:48:19;1;Lower Manhattan;57;3,1;Tea;Brewed Chai tea
15;01.01.2023;07:52:36;2;Lower Manhattan;87;3;Coffee;Barista Espresso
16;01.01.2023;07:59:58;2;Lower Manhattan;47;3;Tea;Brewed Green tea
17;01.01.2023;07:59:58;1;Lower Manhattan;79;3,75;Bakery;Scone
18;01.01.2023;08:00:18;1;Hell's Kitchen;42;2,5;Tea;Brewed herbal tea
19;01.01.2023;08:00:39;2;Hell's Kitchen;59;4,5;Drinking Chocolate;Hot chocolate
20;01.01.2023;08:11:45;1;Hell's Kitchen;61;4,75;Drinking Chocolate;Hot chocolate
21;01.01.2023;08:17:27;2;Hell's Kitchen;33;3,5;Coffee;Gourmet brewed coffee
22;01.01.2023;08:24:26;2;Lower Manhattan;56;2,55;Tea;Brewed Chai tea
23;01.01.2023;08:24:26;1;Lower Manhattan;69;3,25;Bakery;Biscotti
24;01.01.2023;08:29:38;1;Hell's Kitchen;56;2,55;Tea;Brewed Chai tea
25;01.01.2023;08:31:23;1;Hell's Kitchen;40;3,75;Coffee;Barista Espresso
26;01.01.2023;08:33:08;1;Lower Manhattan;43;3;Tea;Brewed herbal tea
27;01.01.2023;08:33:08;1;Lower Manhattan;76;3,5;Bakery;Biscotti
28;01.01.2023;08:35:03;2;Lower Manhattan;45;3;Tea;Brewed herbal tea
29;01.01.2023;08:35:03;1;Lower Manhattan;71;3,75;Bakery;Pastry
30;01.01.2023;08:41:57;2;Hell's Kitchen;40;3,75;Coffee;Barista Espresso
31;01.01.2023;08:52:03;1;Hell's Kitchen;38;3,75;Coffee;Barista Espresso
32;01.01.2023;08:52:32;1;Lower Manhattan;26;3;Coffee;Organic brewed coffee
33;01.01.2023;08:54:33;2;Lower Manhattan;27;3,5;Coffee;Organic brewed coffee
34;01.01.2023;08:56:27;2;Lower Manhattan;29;2,5;Coffee;Gourmet brewed coffee
35;01.01.2023;08:57:46;1;Hell's Kitchen;54;2,5;Tea;Brewed Chai tea
36;01.01.2023;08:58:55;1;Lower Manhattan;26;3;Coffee;Organic brewed coffee
37;01.01.2023;09:00:12;1;Lower Manhattan;55;4;Tea;Brewed Chai tea
